 --------------------------------------------------
  #iter    #init      Sp(xstar)      ||gp(xstar)||
 --------------------------------------------------
     1        0      5.333228E-01     9.877526E-02
     2        1      7.575408E-02     3.263501E-01
     3        1      3.193532E-02     9.691802E-02
     4        1      2.964006E-02     4.315673E-02
     5        1      2.804861E-02     3.422534E-02
     6        1      2.701841E-02     2.798994E-02
     7        1      2.632305E-02     2.324098E-02
     8        1      2.584268E-02     1.951216E-02
     9        1      2.550414E-02     1.641997E-02
    10        1      2.526221E-02     1.394529E-02
    11        1      2.508741E-02     1.187086E-02
    12        1      2.496002E-02     1.016455E-02
    13        1      2.486654E-02     8.717706E-03
    14        1      2.479751E-02     7.509286E-03
    15        1      2.474625E-02     6.478462E-03
    16        1      2.470797E-02     5.611699E-03
    17        1      2.467923E-02     4.871617E-03
    18        1      2.465749E-02     4.248881E-03
    19        1      2.464092E-02     3.719284E-03
    20        1      2.462817E-02     3.275967E-03
    21        1      2.461824E-02     2.902646E-03
    22        1      2.461041E-02     2.593883E-03
    23        1      2.460412E-02     2.338245E-03
    24        1      2.459897E-02     2.130968E-03
    25        1      2.459467E-02     1.963551E-03
    26        1      2.459099E-02     1.831493E-03
    27        1      2.458776E-02     1.728188E-03
    28        1      2.458487E-02     1.649458E-03
    29        1      2.458221E-02     1.591519E-03
    30        1      2.457973E-02     1.547120E-03
    31        1      2.457737E-02     1.517907E-03
    32        1      2.457511E-02     1.498322E-03
    33        1      2.457288E-02     1.485355E-03
    34        1      2.457069E-02     1.477348E-03
    35        1      2.456852E-02     1.473520E-03
    36        1      2.456634E-02     1.473963E-03
    37        1      2.456417E-02     1.476544E-03
    38        1      2.456198E-02     1.480755E-03
    39        1      2.455977E-02     1.486291E-03
    40        1      2.455755E-02     1.492859E-03
    41        1      2.455530E-02     1.500237E-03
    42        1      2.455303E-02     1.508246E-03
    43        1      2.455074E-02     1.516809E-03
    44        1      2.454842E-02     1.525750E-03
    45        1      2.454607E-02     1.535080E-03
    46        1      2.454369E-02     1.544690E-03
    47        1      2.454128E-02     1.554582E-03
    48        1      2.453884E-02     1.564670E-03
    49        1      2.453637E-02     1.574987E-03
    50        1      2.453386E-02     1.585467E-03
    51        1      2.453133E-02     1.596130E-03
    52        1      2.452875E-02     1.606959E-03
    53        1      2.452614E-02     1.617970E-03
    54        1      2.452350E-02     1.629095E-03
    55        1      2.452082E-02     1.640386E-03
    56        1      2.451810E-02     1.651833E-03
    57        1      2.451534E-02     1.663432E-03
    58        1      2.451254E-02     1.675183E-03
    59        1      2.450971E-02     1.687086E-03
    60        1      2.450683E-02     1.699144E-03
    61        1      2.450391E-02     1.711359E-03
    62        1      2.450095E-02     1.723733E-03
    63        1      2.449795E-02     1.736288E-03
    64        1      2.449490E-02     1.748972E-03
    65        1      2.449181E-02     1.761836E-03
    66        1      2.448867E-02     1.774883E-03
    67        1      2.448548E-02     1.788081E-03
    68        1      2.448225E-02     1.801468E-03
    69        1      2.447897E-02     1.815036E-03
    70        1      2.447564E-02     1.828786E-03
    71        1      2.447225E-02     1.842744E-03
    72        1      2.446882E-02     1.856868E-03
    73        1      2.446533E-02     1.871199E-03
    74        1      2.446179E-02     1.885717E-03
    75        1      2.445819E-02     1.900428E-03
    76        1      2.445454E-02     1.915363E-03
    77        1      2.445083E-02     1.930510E-03
    78        1      2.444705E-02     1.945872E-03
    79        1      2.444322E-02     1.961456E-03
    80        1      2.443933E-02     1.977265E-03
    81        1      2.443537E-02     1.993331E-03
    82        1      2.443135E-02     2.009584E-03
    83        1      2.442726E-02     2.026101E-03
    84        1      2.442314E-02     2.042774E-03
    85        1      2.441891E-02     2.059744E-03
    86        1      2.441462E-02     2.077016E-03
    87        1      2.441025E-02     2.094554E-03
    88        1      2.440581E-02     2.112361E-03
    89        1      2.440129E-02     2.130443E-03
    90        1      2.439673E-02     2.148697E-03
    91        1      2.439205E-02     2.167306E-03
    92        1      2.438729E-02     2.186255E-03
    93        1      2.438245E-02     2.205517E-03
    94        1      2.437752E-02     2.225078E-03
    95        1      2.437250E-02     2.244956E-03
    96        1      2.436739E-02     2.265167E-03
    97        1      2.436219E-02     2.285718E-03
    98        1      2.435690E-02     2.306608E-03
    99        1      2.435150E-02     2.327845E-03
   100        1      2.434601E-02     2.349447E-03
   101        1      2.434041E-02     2.371422E-03
   102        1      2.433471E-02     2.393759E-03
   103        1      2.432890E-02     2.416503E-03
   104        1      2.432297E-02     2.439651E-03
   105        1      2.431693E-02     2.463204E-03
   106        1      2.431078E-02     2.487173E-03
   107        1      2.430450E-02     2.511603E-03
   108        1      2.429810E-02     2.536448E-03
   109        1      2.429157E-02     2.561757E-03
   110        1      2.428491E-02     2.587553E-03
   111        1      2.427811E-02     2.613826E-03
   112        1      2.427117E-02     2.640593E-03
   113        1      2.426409E-02     2.667897E-03
   114        1      2.425686E-02     2.695712E-03
   115        1      2.424948E-02     2.724078E-03
   116        1      2.424194E-02     2.753006E-03
   117        1      2.423424E-02     2.782509E-03
   118        1      2.422637E-02     2.812600E-03
   119        1      2.421833E-02     2.843326E-03
   120        1      2.421011E-02     2.874684E-03
   121        1      2.420171E-02     2.906690E-03
   122        1      2.419312E-02     2.939386E-03
   123        1      2.418433E-02     2.972784E-03
   124        1      2.417534E-02     3.006902E-03
   125        1      2.416614E-02     3.041764E-03
   126        1      2.415672E-02     3.077406E-03
   127        1      2.414709E-02     3.113847E-03
   128        1      2.413721E-02     3.151121E-03
   129        1      2.412710E-02     3.189250E-03
   130        1      2.411675E-02     3.228269E-03
   131        1      2.410613E-02     3.268219E-03
   132        1      2.409525E-02     3.309125E-03
   133        1      2.408409E-02     3.351022E-03
