 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      5.944508E+01              NaN
     2       17      5.944508E+01     5.033476E+01
     3       17      5.944508E+01     5.033476E+01
     4       17      5.944508E+01     5.033476E+01
     5       17      5.944508E+01     5.033476E+01
     6       17      5.944508E+01     5.033476E+01
     7       18      5.944508E+01     5.033476E+01
     8       18      5.944508E+01     5.033476E+01
     9       18      5.944508E+01     5.033476E+01
    10       18      5.944508E+01     5.033476E+01
    11       18      5.944508E+01     5.033476E+01
    12       18      5.944508E+01     5.033476E+01
    13       18      5.944508E+01     5.033476E+01
    14       18      5.944508E+01     5.033476E+01
    15       18      5.944508E+01     5.033476E+01
    16       18      5.944508E+01     5.033476E+01
    17       19      5.944508E+01     5.033476E+01
    18       19      5.944508E+01     5.033476E+01
    19       19      5.944508E+01     5.033476E+01
    20       19      5.944508E+01     5.033476E+01
    21       19      5.944508E+01     5.033476E+01
    22       19      5.944508E+01     5.033476E+01
    23       19      5.944508E+01     5.033476E+01
    24       19      5.944508E+01     5.033476E+01
    25       19      5.944508E+01     5.033476E+01
    26       19      5.944508E+01     5.033476E+01
    27       19      5.944508E+01     5.033476E+01
    28       19      5.944508E+01     5.033476E+01
    29       19      5.944508E+01     5.033476E+01
    30       19      5.944508E+01     5.033476E+01
    31       19      5.944508E+01     5.033476E+01
    32       19      5.944508E+01     5.033476E+01
    33       19      5.944508E+01     5.033476E+01
    34       19      5.944508E+01     5.033476E+01
    35       19      5.944508E+01     5.033476E+01
    36       19      5.944508E+01     5.033476E+01
    37       19      5.944508E+01     5.033476E+01
    38       19      5.944508E+01     5.033476E+01
    39       19      5.944508E+01     5.033476E+01
    40       19      5.944508E+01     5.033476E+01
    41       19      5.944508E+01     5.033476E+01
    42       19      5.944508E+01     5.033476E+01
    43       19      5.944508E+01     5.033476E+01
    44       19      5.944508E+01     5.033476E+01
    45       19      5.944508E+01     5.033476E+01
    46       19      5.944508E+01     5.033476E+01
    47       19      5.944508E+01     5.033476E+01
    48       19      5.944508E+01     5.033476E+01
    49       19      5.944508E+01     5.033476E+01
    50       19      5.944508E+01     5.033476E+01
    51       19      5.944508E+01     5.033476E+01
    52       19      5.944508E+01     5.033476E+01
    53       19      5.944508E+01     5.033476E+01
    54       19      5.944508E+01     5.033476E+01
    55       19      5.944508E+01     5.033476E+01
    56       19      5.944508E+01     5.033476E+01
    57       19      5.944508E+01     5.033476E+01
    58       19      5.944508E+01     5.033476E+01
    59       19      5.944508E+01     5.033476E+01
    60       19      5.944508E+01     5.033476E+01
    61       19      5.944508E+01     5.033476E+01
    62       19      5.944508E+01     5.033476E+01
    63       19      5.944508E+01     5.033476E+01
    64       19      5.944508E+01     5.033476E+01
    65       19      5.944508E+01     5.033476E+01
    66       19      5.944508E+01     5.033476E+01
    67       19      5.944508E+01     5.033476E+01
    68       19      5.944508E+01     5.033476E+01
    69       19      5.944508E+01     5.033476E+01
    70       19      5.944508E+01     5.033476E+01
    71       19      5.944508E+01     5.033476E+01
    72       19      5.944508E+01     5.033476E+01
    73       19      5.944508E+01     5.033476E+01
    74       19      5.944508E+01     5.033476E+01
    75       19      5.944508E+01     5.033476E+01
    76       19      5.944508E+01     5.033476E+01
    77       19      5.944508E+01     5.033476E+01
    78       19      5.944508E+01     5.033476E+01
    79       19      5.944508E+01     5.033476E+01
    80       19      5.944508E+01     5.033476E+01
    81       19      5.944508E+01     5.033476E+01
    82       19      5.944508E+01     5.033476E+01
    83       19      5.944508E+01     5.033476E+01
    84       19      5.944508E+01     5.033476E+01
    85       19      5.944508E+01     5.033476E+01
    86       19      5.944508E+01     5.033476E+01
    87       19      5.944508E+01     5.033476E+01
    88       19      5.944508E+01     5.033476E+01
    89       19      5.944508E+01     5.033476E+01
    90       19      5.944508E+01     5.033476E+01
    91       19      5.944508E+01     5.033476E+01
    92       19      5.944508E+01     5.033476E+01
    93       19      5.944508E+01     5.033476E+01
    94       19      5.944508E+01     5.033476E+01
    95       19      5.944508E+01     5.033476E+01
    96       19      5.944508E+01     5.033476E+01
    97       19      5.944508E+01     5.033476E+01
    98       19      5.944508E+01     5.033476E+01
    99       19      5.944508E+01     5.033476E+01
   100       19      5.944508E+01     5.033476E+01
   101       19      5.944508E+01     5.033476E+01
   102       19      5.944508E+01     5.033476E+01
   103       19      5.944508E+01     5.033476E+01
   104       19      5.944508E+01     5.033476E+01
   105       19      5.944508E+01     5.033476E+01
   106       19      5.944508E+01     5.033476E+01
   107       19      5.944508E+01     5.033476E+01
   108       19      5.944508E+01     5.033476E+01
   109       19      5.944508E+01     5.033476E+01
   110       19      5.944508E+01     5.033476E+01
   111       19      5.944508E+01     5.033476E+01
